titulo,spotify_url,thumb_file,match
Sakamoto Days,https://open.spotify.com/playlist/6urllBlEJqB3O5utdj0bF8,Sakamoto days.jpg,exact_norm
Shingeki no Kyojin,https://open.spotify.com/playlist/6KDJuksHsc3oWWbBGu3QRb,Shingeki no Kyojin.jpg,exact_norm
Shokugeki no Soma,https://open.spotify.com/playlist/3K3lGXCe1q8xY6oNoOjQPb,Shokugeki no Souma.jpg,fuzzy_jaccard_0.50
Solo Leveling,https://open.spotify.com/playlist/2wgLqvbxsC6C3x6n74c2MM,Solo Leveling.jpg,exact_norm
Soul Eater,https://open.spotify.com/playlist/6OLT75KKlTyKQOg7e32d2x,Soul Eater.jpg,exact_norm
Spy x Family,https://open.spotify.com/playlist/5guVSS0MUpPOpHS2H8i4w9,Spy x Family.jpg,exact_norm
Super Campeones,https://open.spotify.com/playlist/3W9MEgzghV238q7X6FhiUn,Super Campeones.jpg,exact_norm
The Apothecary Diaries,https://open.spotify.com/playlist/5rpv7pLtPiAQSLFEgtregY,The Apothecary Diaries.jpg,exact_norm
The Promised Neverland,https://open.spotify.com/playlist/7r2QxdornXsU7aatnA3ayn,The Promised Neverland.jpg,exact_norm
To be Hero X,https://open.spotify.com/playlist/6A0926Ux8JywGExzgkEKrp,To be Hero X.jpg,exact_norm
Tokyo Ghoul,https://open.spotify.com/playlist/2MVbHxqXopXOyOs4nrnvvF,Tokyo Ghoul.jpg,exact_norm
Tokyo Revengers,https://open.spotify.com/playlist/0IML9dLqAhgROAxhDaUHan,Tokyo Revengers.jpg,exact_norm
Undead Unluck,https://open.spotify.com/playlist/2DHNMHIGNIVPaqK9Izi6Ew,Undead Unluck.jpg,exact_norm
Vinland Saga,https://open.spotify.com/playlist/0WaXju3bmD0BF91BGEFzom,Vinland Saga.jpg,exact_norm
Wind Breaker,https://open.spotify.com/playlist/6tBkzPDjnXjx3XfqVTak6y,Wind Breaker.jpg,exact_norm
