titulo,spotify_url,source_image,cover_file,cover_path_mkdocs,matched_exact
Darker Than Black,https://open.spotify.com/playlist/1mHaM6BaTrcfsxXPgMtMSa,Darker than black.jpg,Darker_Than_Black.jpg,assets/covers/Darker_Than_Black.jpg,False
Death Note,https://open.spotify.com/playlist/0sIT4BLPHzbYgLldkpyzRQ,Death Note.jpg,Death_Note.jpg,assets/covers/Death_Note.jpg,True
Diamond no Ace,https://open.spotify.com/playlist/69uo2UnmrH6E0TGhlCTwSS,Diamond no Ace.jpg,Diamond_no_Ace.jpg,assets/covers/Diamond_no_Ace.jpg,True
Dr. Stone,https://open.spotify.com/playlist/5LP5wBwib2uYK19NF8ySGt,Dr. Stone.jpg,Dr._Stone.jpg,assets/covers/Dr._Stone.jpg,True
Durarara!!,https://open.spotify.com/playlist/4dEF66NZ6pkZeSVWqpSE9L,Durarara!!.jpg,Durarara.jpg,assets/covers/Durarara.jpg,True
Erased,https://open.spotify.com/playlist/0PJRVmTJUB4Sj4n7iXIhJs,Erased.jpg,Erased.jpg,assets/covers/Erased.jpg,True
Eureka Seven,https://open.spotify.com/playlist/00cDgg8oV0Mq3HYYQrcl6G,Eureka Seven.jpg,Eureka_Seven.jpg,assets/covers/Eureka_Seven.jpg,True
FMA,https://open.spotify.com/playlist/7shfzMICWjJXpwu2Zc8B0i,FMA.jpg,FMA.jpg,assets/covers/FMA.jpg,True
FMAB,https://open.spotify.com/playlist/75Slj8hhLY6kPKXtKiBU9G,FMAB.jpg,FMAB.jpg,assets/covers/FMAB.jpg,True
Fairy Tail,https://open.spotify.com/playlist/3s6ydMwbXJHH8nTMQMoYYM,Fairy Tail.jpg,Fairy_Tail.jpg,assets/covers/Fairy_Tail.jpg,True
Fate/stay night: Unlimited Blade Works,https://open.spotify.com/playlist/5mXUXhuPlR2kU2KjXmQ4yS,Fate Stay Night.jpg,Fatestay_night_Unlimited_Blade_Works.jpg,assets/covers/Fatestay_night_Unlimited_Blade_Works.jpg,False
Fire Force,https://open.spotify.com/playlist/7n4N5KmQM3fy725UJdzZS6,Fire Force.jpg,Fire_Force.jpg,assets/covers/Fire_Force.jpg,True
Frieren,https://open.spotify.com/playlist/0RJ0NKDwr05AkSKRdEtgds,Frieren.jpg,Frieren.jpg,assets/covers/Frieren.jpg,True
Gintama,https://open.spotify.com/playlist/4k5CSeHeezCEjVFxabBPaw,Gintama.jpg,Gintama.jpg,assets/covers/Gintama.jpg,True
Given,https://open.spotify.com/playlist/4C2q0Mk6SITq0CByMptqei,Given.jpg,Given.jpg,assets/covers/Given.jpg,True
Golden Kamuy,https://open.spotify.com/playlist/6DW3M4boXYozAtfYMGGTaX,Golden Kamuy.jpg,Golden_Kamuy.jpg,assets/covers/Golden_Kamuy.jpg,True
Gurren Lagann,https://open.spotify.com/playlist/6ce5cPy0rz7Yz2zhKzXYO5,Gurren Lagann.jpg,Gurren_Lagann.jpg,assets/covers/Gurren_Lagann.jpg,True
Haikyuu!!,https://open.spotify.com/playlist/467Ow975bYx9Lpvhlhv073,Haikyuu!!.jpg,Haikyuu.jpg,assets/covers/Haikyuu.jpg,True
Hajime no Ippo,https://open.spotify.com/playlist/1p3LjrYk9adTxAhg6ZOBBL,Hajime no Ippo.jpg,Hajime_no_Ippo.jpg,assets/covers/Hajime_no_Ippo.jpg,True
Hell's Paradise,https://open.spotify.com/playlist/3lZzqWqDJfoZCRx5mDG9TA,Hell's Paradise.jpg,Hells_Paradise.jpg,assets/covers/Hells_Paradise.jpg,True
Hunter x Hunter,https://open.spotify.com/playlist/792ifnSQ2evHS3mYg63bMT,Hunter X Hunter.jpg,Hunter_x_Hunter.jpg,assets/covers/Hunter_x_Hunter.jpg,False
Jujutsu Kaisen,https://open.spotify.com/playlist/0jQWVGWinLuEK27Aoj4k73,Jujutsu Kaisen.jpg,Jujutsu_Kaisen.jpg,assets/covers/Jujutsu_Kaisen.jpg,True
Katekyo Hitman Reborn!,https://open.spotify.com/playlist/2NBwgvNzTYYyTcd9fqD05f,Katekyo Hitman Reborn!.jpg,Katekyo_Hitman_Reborn.jpg,assets/covers/Katekyo_Hitman_Reborn.jpg,True
Kekkai Sensen,https://open.spotify.com/playlist/0WVipiRR4bzTFCh7pFTyxx,Kekkai Sensen.jpg,Kekkai_Sensen.jpg,assets/covers/Kekkai_Sensen.jpg,True
Kimetsu no Yaiba,https://open.spotify.com/playlist/2o95l8RLNX7NDKuib2RsIn,Kimetsu no Yaiba.jpg,Kimetsu_no_Yaiba.jpg,assets/covers/Kimetsu_no_Yaiba.jpg,True
Kingdom,https://open.spotify.com/playlist/372sgo3FxO7Ii8QLoFncOw,Kingdom.jpg,Kingdom.jpg,assets/covers/Kingdom.jpg,True
Kuroko no Basuke,https://open.spotify.com/playlist/66MTx7oJeTPwnXMQfa2GWz,Kuroko no Basuke.jpg,Kuroko_no_Basuke.jpg,assets/covers/Kuroko_no_Basuke.jpg,True
Link Click,https://open.spotify.com/playlist/2XxlKSO1DZDn0NJSFtfnjA,Link Click.jpg,Link_Click.jpg,assets/covers/Link_Click.jpg,True
Magi,https://open.spotify.com/playlist/6Wh8Qe02tMOfxwpkdZ6sJO,Magi.jpg,Magi.jpg,assets/covers/Magi.jpg,True
Mahouka Koukou no Rettousei,https://open.spotify.com/playlist/6m7rLpLX50TsT37ZD9kQcU,Mahouka Koukou no Rettousei.jpg,Mahouka_Koukou_no_Rettousei.jpg,assets/covers/Mahouka_Koukou_no_Rettousei.jpg,True
March comes in like a lion,https://open.spotify.com/playlist/6bxOekvTA8tRfjaKVzeaZ9,March comes in like a lion.jpg,March_comes_in_like_a_lion.jpg,assets/covers/March_comes_in_like_a_lion.jpg,True
Mekakucity Actors,https://open.spotify.com/playlist/59SBFaalqnkpDcTj4IM7zg,Mekakucity Actors.jpg,Mekakucity_Actors.jpg,assets/covers/Mekakucity_Actors.jpg,True
Mob Psycho 100,https://open.spotify.com/playlist/34fH5pXCYCZPeoaAy4WEmj,Mob Psycho 100.jpg,Mob_Psycho_100.jpg,assets/covers/Mob_Psycho_100.jpg,True
Mobile Suit Gundam,https://open.spotify.com/playlist/2UUg1nABbO0s6bvnjl7MXz,Mobile Suit Gundam.jpg,Mobile_Suit_Gundam.jpg,assets/covers/Mobile_Suit_Gundam.jpg,True
Mushoku Tensei,https://open.spotify.com/playlist/4hBd3md9h7OnADCrRbh19B,Mushoku Tensei.jpg,Mushoku_Tensei.jpg,assets/covers/Mushoku_Tensei.jpg,True
Nana,https://open.spotify.com/playlist/5jHK9vw8SFLqgDWeOKflsf,Nana.jpg,Nana.jpg,assets/covers/Nana.jpg,True
Nanatsu No Taizai,https://open.spotify.com/playlist/2a7tYe5l0JTo9xWRL3SgLw,Nanatsu No Taizai.jpg,Nanatsu_No_Taizai.jpg,assets/covers/Nanatsu_No_Taizai.jpg,True
Naruto,https://open.spotify.com/playlist/37hfIqMBACCka8bFflyrq6,Naruto.jpg,Naruto.jpg,assets/covers/Naruto.jpg,True
Naruto Shippuden,https://open.spotify.com/playlist/2voZXbf1gABpD5txeMbAVN,Naruto Shippuden.jpg,Naruto_Shippuden.jpg,assets/covers/Naruto_Shippuden.jpg,True
Noragami,https://open.spotify.com/playlist/6KSTd20d0Es5eXdrSaupnY,Noragami.jpg,Noragami.jpg,assets/covers/Noragami.jpg,True
One Piece,https://open.spotify.com/playlist/3ZETgi91TzMkOLIAgNZQSJ,One Piece Film_ Red.jpg,One_Piece.jpg,assets/covers/One_Piece.jpg,False
One Piece Film: Red,https://open.spotify.com/playlist/6p0LleBMTER49YGVCQUbZH,One Piece Film_ Red.jpg,One_Piece_Film_Red.jpg,assets/covers/One_Piece_Film_Red.jpg,False
Orb: On the Movements of the Earth,https://open.spotify.com/playlist/7a6pE3i6KL6Fbb9g9hP9Vt,Orb_On the Movements of the Earth.jpg,Orb_On_the_Movements_of_the_Earth.jpg,assets/covers/Orb_On_the_Movements_of_the_Earth.jpg,False
Oregairu,https://open.spotify.com/playlist/0yGx56rWUc7sUEpUAlSIII,Oregairu.jpg,Oregairu.jpg,assets/covers/Oregairu.jpg,True
Oshi no Ko,https://open.spotify.com/playlist/1TLqbSYrA4o36qbGipXink,Oshi No Ko.jpg,Oshi_no_Ko.jpg,assets/covers/Oshi_no_Ko.jpg,False
Ousama Ranking,https://open.spotify.com/playlist/1z6h0ggCVP0BRwIM7hWYKI,Ousama Ranking.jpg,Ousama_Ranking.jpg,assets/covers/Ousama_Ranking.jpg,True
Overlord,https://open.spotify.com/playlist/7Dm7zWJDK4VxjYMkBLBozy,Overlord.jpg,Overlord.jpg,assets/covers/Overlord.jpg,True
Psycho Pass,https://open.spotify.com/playlist/5fF9h8hjlEQuhzwwrZBZNl,Psychopass.jpg,Psycho_Pass.jpg,assets/covers/Psycho_Pass.jpg,False
Ragna Crimson,https://open.spotify.com/playlist/62TqJDZymJTRabTYiiL75Y,Ragna Crimson.jpg,Ragna_Crimson.jpg,assets/covers/Ragna_Crimson.jpg,True
Re:Zero,https://open.spotify.com/playlist/2DHV0rAXD0qrkrKNYnECIt,Re ZERO.jpg,ReZero.jpg,assets/covers/ReZero.jpg,False
SAO,https://open.spotify.com/playlist/0DEbyIrgoLFPqPMR5wyyXj,SAO.jpg,SAO.jpg,assets/covers/SAO.jpg,True
Sakamoto Days,https://open.spotify.com/playlist/6urllBlEJqB3O5utdj0bF8,Sakamoto days.jpg,Sakamoto_Days.jpg,assets/covers/Sakamoto_Days.jpg,False
Shingeki no Kyojin,https://open.spotify.com/playlist/6KDJuksHsc3oWWbBGu3QRb,Shingeki no Kyojin.jpg,Shingeki_no_Kyojin.jpg,assets/covers/Shingeki_no_Kyojin.jpg,True
Shokugeki no Soma,https://open.spotify.com/playlist/3K3lGXCe1q8xY6oNoOjQPb,Shokugeki no Souma.jpg,Shokugeki_no_Soma.jpg,assets/covers/Shokugeki_no_Soma.jpg,False
Solo Leveling,https://open.spotify.com/playlist/2wgLqvbxsC6C3x6n74c2MM,Solo Leveling.jpg,Solo_Leveling.jpg,assets/covers/Solo_Leveling.jpg,True
Soul Eater,https://open.spotify.com/playlist/6OLT75KKlTyKQOg7e32d2x,Soul Eater.jpg,Soul_Eater.jpg,assets/covers/Soul_Eater.jpg,True
Spy x Family,https://open.spotify.com/playlist/5guVSS0MUpPOpHS2H8i4w9,Spy x Family.jpg,Spy_x_Family.jpg,assets/covers/Spy_x_Family.jpg,True
Super Campeones,https://open.spotify.com/playlist/3W9MEgzghV238q7X6FhiUn,Super Campeones.jpg,Super_Campeones.jpg,assets/covers/Super_Campeones.jpg,True
The Apothecary Diaries,https://open.spotify.com/playlist/5rpv7pLtPiAQSLFEgtregY,The Apothecary Diaries.jpg,The_Apothecary_Diaries.jpg,assets/covers/The_Apothecary_Diaries.jpg,True
The Promised Neverland,https://open.spotify.com/playlist/7r2QxdornXsU7aatnA3ayn,The Promised Neverland.jpg,The_Promised_Neverland.jpg,assets/covers/The_Promised_Neverland.jpg,True
To be Hero X,https://open.spotify.com/playlist/6A0926Ux8JywGExzgkEKrp,To be Hero X.jpg,To_be_Hero_X.jpg,assets/covers/To_be_Hero_X.jpg,True
Tokyo Ghoul,https://open.spotify.com/playlist/2MVbHxqXopXOyOs4nrnvvF,Tokyo Ghoul.jpg,Tokyo_Ghoul.jpg,assets/covers/Tokyo_Ghoul.jpg,True
Tokyo Revengers,https://open.spotify.com/playlist/0IML9dLqAhgROAxhDaUHan,Tokyo Revengers.jpg,Tokyo_Revengers.jpg,assets/covers/Tokyo_Revengers.jpg,True
Undead Unluck,https://open.spotify.com/playlist/2DHNMHIGNIVPaqK9Izi6Ew,Undead Unluck.jpg,Undead_Unluck.jpg,assets/covers/Undead_Unluck.jpg,True
Vinland Saga,https://open.spotify.com/playlist/0WaXju3bmD0BF91BGEFzom,Vinland Saga.jpg,Vinland_Saga.jpg,assets/covers/Vinland_Saga.jpg,True
Wind Breaker,https://open.spotify.com/playlist/6tBkzPDjnXjx3XfqVTak6y,Wind Breaker.jpg,Wind_Breaker.jpg,assets/covers/Wind_Breaker.jpg,True
